Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,100,5,4,7,10,21,2,53,0.000%,91.82736,24.84,13.90
TOTAL,100,5,4,7,10,21,2,53,0.000%,91.82736,24.84,13.90
